year,finish,post,horse,trainer,jockey,odds,ml_odds,final_odds,condition,run_style,beyer,dosage,is_winner,year_winner_beyer,year_last_quarter_s
2010,1,4.0,Super Saver,Todd Pletcher,Calvin Borel,8.0,15.0,8.0,fast,3,104,2.5,1,104,
2010,2,2.0,Ice Box,Nick Zito,Jose Lezcano,11.7,10.0,11.7,fast,3,104,2.5,0,104,
2010,3,10.0,Paddy O'Prado,Dale Romans,Kent Desormeaux,12.3,20.0,12.3,fast,3,104,2.5,0,104,
2010,4,9.0,Make Music for Me,Alexis Barba,Joel Rosario,30.0,50.0,30.0,fast,3,104,2.5,0,104,
2010,5,3.0,Noble's Promise,Kenny McPeek,Willie Martinez,24.9,12.0,24.9,fast,3,104,2.5,0,104,
2010,6,1.0,Lookin at Lucky,Bob Baffert,Garrett Gomez,6.3,3.0,6.3,fast,3,104,2.5,0,104,
2010,7,17.0,Dublin,D. Wayne Lukas,Terry J. Thompson,20.0,12.0,20.0,fast,3,104,2.5,0,104,
2010,8,6.0,Stately Victor,Michael Maker,Alan Garcia,20.2,30.0,20.2,fast,3,104,2.5,0,104,
2010,9,14.0,Mission Impazible,Todd Pletcher,Rajiv Maragh,16.7,20.0,16.7,fast,3,104,2.5,0,104,
2010,10,11.0,Devil May Care,Todd Pletcher,John Velazquez,10.9,10.0,10.9,fast,3,104,2.5,0,104,
2010,11,7.0,American Lion,Eoin Harty,David Flores,23.2,30.0,23.2,fast,3,104,2.5,0,104,
2010,12,13.0,Jackson Bend,Nick Zito,Mike E. Smith,23.0,15.0,23.0,fast,3,104,2.5,0,104,
2010,13,15.0,Discreetly Mine,Todd Pletcher,Javier Castellano,31.6,30.0,31.6,fast,3,104,2.5,0,104,
2010,14,8.0,Dean's Kitten,Michael Maker,Robby Albarado,25.7,50.0,25.7,fast,3,104,2.5,0,104,
2010,15,12.0,Conveyance,Bob Baffert,Martin Garcia,27.0,12.0,27.0,fast,3,104,2.5,0,104,
2010,16,19.0,Homeboykris,"Richard Dutrow, Jr.",Ramon Dominguez,27.0,50.0,27.0,fast,3,104,2.5,0,104,
2010,17,20.0,Sidney's Candy,John W. Sadler,Joe Talamo,9.5,5.0,9.5,fast,3,104,2.5,0,104,
2010,18,5.0,Line of David,John W. Sadler,Rafael Bejarano,19.9,30.0,19.9,fast,3,104,2.5,0,104,
2010,19,16.0,Awesome Act,Jeremy Noseda,Julien Leparoux,11.6,10.0,11.6,fast,3,104,2.5,0,104,
2010,20,18.0,Backtalk,Thomas M. Amoss,Miguel Mena,23.1,50.0,23.1,fast,3,104,2.5,0,104,
2011,1,16.0,Animal Kingdom,H. Graham Motion,John R. Velazquez,20.9,,20.9,fast,3,103,2.5,1,103,
2011,2,19.0,Nehro,Steve Asmussen,Corey Nakatani,8.5,,8.5,fast,3,103,2.5,0,103,
2011,3,13.0,Mucho Macho Man,Katherine Ritvo,Rajiv Maragh,9.3,,9.3,fast,3,103,2.5,0,103,
2011,4,14.0,Shackleford,Dale L. Romans,Jesus Castanon,23.0,,23.0,fast,3,103,2.5,0,103,
2011,5,11.0,Master of Hounds,Aidan O'Brien,Garrett K. Gomez,16.0,,16.0,fast,3,103,2.5,0,103,
2011,6,12.0,Santiva,Eddie Kenneally,Shaun Bridgmohan,34.0,,34.0,fast,3,103,2.5,0,103,
2011,7,2.0,Brilliant Speed,Thomas Albertrani,Joel Rosario,27.0,,27.0,fast,3,103,2.5,0,103,
2011,8,8.0,Dialed In,Nick Zito,Julien Leparoux,5.0,,5.0,fast,3,103,2.5,0,103,
2011,9,7.0,Pants On Fire,Kelly Breen,Rosie Napravnik,8.0,,8.0,fast,3,103,2.5,0,103,
2011,10,3.0,Twice the Appeal,Jeffrey L. Bonde,Calvin Borel,11.0,,11.0,fast,3,103,2.5,0,103,
